model,split,n,bad_rate,auc,gini,ks
logistic_raw,valid,61502,0.08072908198107379,0.750388435481859,0.5007768709637179,0.371944489078893
logistic_raw,test,61503,0.08072776937710356,0.7553797271408901,0.5107594542817802,0.37901384187882514
lightgbm,valid,61502,0.08072908198107379,0.766422042576508,0.5328440851530161,0.39965968333332713
lightgbm,test,61503,0.08072776937710356,0.7719513049658837,0.5439026099317674,0.4002652227910988
xgboost,valid,61502,0.08072908198107379,0.7693275572586649,0.5386551145173297,0.4044941578687226
xgboost,test,61503,0.08072776937710356,0.7728420532749016,0.5456841065498033,0.4071151354611218
logistic_woe,valid,61502,0.08072908198107379,0.733119893092495,0.46623978618499007,0.3457800407368979
logistic_woe,test,61503,0.08072776937710356,0.7368363948609526,0.4736727897219053,0.3542403104229874
