model,split,n,bad_rate,auc,gini,ks
logistic_raw,valid,30000,0.06683333333333333,0.8211365139571147,0.6422730279142295,0.5062281784376352
logistic_raw,test,30000,0.06683333333333333,0.8165231500637582,0.6330463001275164,0.4861955666290605
lightgbm,valid,30000,0.06683333333333333,0.8663969385341788,0.7327938770683575,0.5797444235455298
lightgbm,test,30000,0.06683333333333333,0.8663614940145618,0.7327229880291235,0.5774336261507332
logistic_woe,valid,30000,0.06683333333333333,0.8522347907691034,0.7044695815382067,0.5549248863909167
logistic_woe,test,30000,0.06683333333333333,0.847278241260574,0.6945564825211481,0.5361285124392091
