bin,expected_pct,actual_pct,psi_contribution
"(-inf, 557.0]",0.10148888888888889,0.10044444444444445,1.0804297707998646e-05
"(557.0, 594.0]",0.09904444444444445,0.10097777777777778,3.7374789078567364e-05
"(594.0, 623.0]",0.09968888888888888,0.09504444444444445,0.0002215846184961815
"(623.0, 650.0]",0.101,0.10286666666666666,3.4184517583423356e-05
"(650.0, 671.0]",0.10068888888888888,0.1002,2.3795523869597314e-06
"(671.0, 686.0]",0.10204444444444444,0.10255555555555555,2.5536179014146294e-06
"(686.0, 697.0]",0.09635555555555556,0.09368888888888889,7.484120772875684e-05
"(697.0, 709.0]",0.09997777777777778,0.10386666666666666,0.00014840033544634263
"(709.0, 721.0]",0.10746666666666667,0.10673333333333333,5.021287384563248e-06
"(721.0, inf]",0.09224444444444445,0.09362222222222222,2.0426539186902534e-05
MISSING,0.0,0.0,0.0
