feature,gain,split
scb0__pmtaverage_4955615A,544.1111512184143,22
scb0__pmtcount_4527229L,541.3424553871155,17
scb0__for3years_504L,509.2468214035034,31
s0__numinstpaidearlyest_4493214L,498.0771007537842,27
s0__sellerplacecnt_915L,481.16629695892334,20
s0__maxannuity_4075009A,458.0977039337158,27
s0__applicationscnt_464L,403.49639892578125,24
s0__clientscnt_1022L,329.10495138168335,22
s0__numactivecreds_622L,293.1033992767334,14
scb0__pmtcount_4955617L,284.4152307510376,9
scb0__foryear_850L,269.9070405960083,18
s0__clientscnt_304L,253.56604099273682,19
s0__clientscnt_533L,240.95343017578125,14
s0__clientscnt_946L,228.7573881149292,18
s0__numactivecredschannel_414L,201.99363946914673,13
s0__clientscnt_1071L,200.7896604537964,14
s0__clientscnt3m_3712950L,194.74545335769653,11
s0__lastdependentsnum_448L,189.63730144500732,12
s0__numactiverelcontr_750L,173.52189826965332,9
s0__clientscnt_360L,163.32564973831177,12
s0__clientscnt_157L,161.60698699951172,13
s0__applicationscnt_629L,157.93159770965576,10
s0__clientscnt_1130L,135.40610122680664,9
person__self_employed,129.77379894256592,7
s0__numpmtchanneldd_318L,124.54913806915283,9
s0__lastotherlnsexpense_631A,121.72140121459961,6
s0__posfpd10lastmonth_333P,121.59129905700684,7
s0__clientscnt_493L,98.73650169372559,6
scb0__fortoday_1092L,93.10390186309814,4
s0__equalitydataagreement_891L,81.38344764709473,4
s0__clientscnt_257L,77.91281127929688,6
scb0__forweek_528L,77.58506870269775,4
s0__opencred_647L,50.796499252319336,4
s0__lastotherinc_902A,34.91769981384277,2
s0__equalityempfrom_62L,16.98979949951172,1
cbb2__dpd_over_31,13.552200317382812,1
s0__clientscnt_136L,10.055899620056152,1
s0__applicationcnt_361L,0.0,0
s0__isbidproductrequest_292L,0.0,0
scb0__contractssum_5085716L,0.0,0
scb0__foryear_618L,0.0,0
scb0__foryear_818L,0.0,0
scb0__forweek_1077L,0.0,0
scb0__formonth_206L,0.0,0
scb0__for3years_584L,0.0,0
scb0__for3years_128L,0.0,0
scb0__forquarter_1017L,0.0,0
