level,stability,mean_gini,slope,residual_std,eligible_weeks,excluded_weeks
A,0.46815830722265134,0.4926433220657701,0.002844868659334752,0.04897002968623758,19,0
B,0.5919525981923199,0.6081913710307246,0.0031778616624528987,0.03247754567680938,19,0
C,0.6322456202404193,0.6532515297319654,0.002542168837856224,0.04201181898309218,19,0
