model,WEEK_NUM,week_index,n,n_bad,n_good,bad_rate,auc,gini,trend_gini,residual
ensemble_lightgbm_catboost_extra_trees,89,16,13600,309,13291,0.022720588235294117,0.8083390492970521,0.6166780985941043,0.6223597964666968,-0.005681697872592539
ensemble_lightgbm_catboost_extra_trees,90,17,12103,330,11773,0.027265967115591174,0.7931661814784213,0.5863323629568427,0.624333864787733,-0.03800150183089035
ensemble_lightgbm_catboost_extra_trees,91,18,12674,288,12386,0.02272368628688654,0.8235098543158045,0.647019708631609,0.6263079331087691,0.02071177552283987
ensemble_boosting,73,0,8687,189,8498,0.021756647864625302,0.8134269999414739,0.6268539998829479,0.6278132407651411,-0.0009592408821932352
ensemble_boosting,74,1,11280,303,10977,0.026861702127659575,0.8232830662131531,0.6465661324263061,0.6305636694846137,0.016002462941692386
ensemble_boosting,75,2,13656,290,13366,0.02123608670181605,0.8282195689526178,0.6564391379052357,0.6333140982040865,0.023125039701149208
ensemble_boosting,76,3,10261,255,10006,0.024851379007893967,0.83800072897438,0.6760014579487601,0.6360645269235591,0.03993693102520102
ensemble_boosting,77,4,7754,197,7557,0.025406241939644053,0.8004049091540502,0.6008098183081003,0.6388149556430318,-0.038005137334931494
ensemble_boosting,78,5,8755,195,8560,0.02227298686464877,0.8530505631440211,0.7061011262880421,0.6415653843625044,0.06453574192553768
ensemble_boosting,79,6,5158,112,5046,0.021713842574641335,0.8283700668138837,0.6567401336277674,0.6443158130819772,0.012424320545790235
ensemble_boosting,80,7,6246,120,6126,0.01921229586935639,0.790911687887692,0.5818233757753839,0.6470662418014498,-0.06524286602606588
ensemble_boosting,81,8,6743,188,6555,0.02788076523802462,0.7981125338786375,0.5962250677572749,0.6498166705209225,-0.053591602763647606
ensemble_boosting,82,9,5423,122,5301,0.022496773003872397,0.7867878315566813,0.5735756631133626,0.6525670992403951,-0.07899143612703252
ensemble_boosting,83,10,7295,156,7139,0.021384509938313912,0.8239644279705912,0.6479288559411824,0.6553175279598679,-0.007388672018685427
ensemble_boosting,84,11,9721,216,9505,0.022219936220553443,0.8004520038186529,0.6009040076373058,0.6580679566793405,-0.0571639490420347
ensemble_boosting,85,12,16239,308,15931,0.018966685140710635,0.8511366387676726,0.7022732775353453,0.6608183853988132,0.041454892136532084
ensemble_boosting,86,13,15630,277,15353,0.017722328854766475,0.8642144987009677,0.7284289974019353,0.6635688141182858,0.06486018328364951
ensemble_boosting,87,14,17886,329,17557,0.018394274851839428,0.8545641958549944,0.7091283917099889,0.6663192428377585,0.04280914887223042
ensemble_boosting,88,15,14234,265,13969,0.018617394969790643,0.8466969313452836,0.6933938626905671,0.6690696715572312,0.02432419113333595
ensemble_boosting,89,16,13600,309,13291,0.022720588235294117,0.8264957258713891,0.6529914517427782,0.6718201002767038,-0.01882864853392563
ensemble_boosting,90,17,12103,330,11773,0.027265967115591174,0.8194705914148709,0.6389411828297418,0.6745705289961765,-0.03562934616643476
ensemble_boosting,91,18,12674,288,12386,0.02272368628688654,0.8518244725227406,0.7036489450454813,0.6773209577156492,0.026327987329832103
ensemble_all_trees,73,0,8687,189,8498,0.021756647864625302,0.812939490275334,0.6258789805506679,0.617288358427942,0.008590622122725877
ensemble_all_trees,74,1,11280,303,10977,0.026861702127659575,0.8166628633347074,0.6333257266694148,0.6198722570364977,0.013453469632917048
ensemble_all_trees,75,2,13656,290,13366,0.02123608670181605,0.8203282131192372,0.6406564262384744,0.6224561556450535,0.018200270593420886
ensemble_all_trees,76,3,10261,255,10006,0.024851379007893967,0.8318710734343708,0.6637421468687417,0.6250400542536092,0.038702092615132466
ensemble_all_trees,77,4,7754,197,7557,0.025406241939644053,0.7989741584935874,0.5979483169871749,0.6276239528621649,-0.029675635874990003
ensemble_all_trees,78,5,8755,195,8560,0.02227298686464877,0.8441810448118858,0.6883620896237717,0.6302078514707207,0.058154238153050986
ensemble_all_trees,79,6,5158,112,5046,0.021713842574641335,0.8196768303040597,0.6393536606081194,0.6327917500792763,0.006561910528843029
ensemble_all_trees,80,7,6246,120,6126,0.01921229586935639,0.7864783980846664,0.5729567961693327,0.635375648687832,-0.062418852518499324
ensemble_all_trees,81,8,6743,188,6555,0.02788076523802462,0.792001395718714,0.584002791437428,0.6379595472963877,-0.05395675585895976
ensemble_all_trees,82,9,5423,122,5301,0.022496773003872397,0.7745986683613669,0.5491973367227339,0.6405434459049435,-0.09134610918220964
ensemble_all_trees,83,10,7295,156,7139,0.021384509938313912,0.8181548805585784,0.6363097611171569,0.6431273445134992,-0.006817583396342308
ensemble_all_trees,84,11,9721,216,9505,0.022219936220553443,0.8021572466732908,0.6043144933465816,0.6457112431220549,-0.04139674977547325
ensemble_all_trees,85,12,16239,308,15931,0.018966685140710635,0.8407393247014113,0.6814786494028227,0.6482951417306106,0.03318350767221201
ensemble_all_trees,86,13,15630,277,15353,0.017722328854766475,0.86055877318865,0.7211175463773001,0.6508790403391663,0.07023850603813375
ensemble_all_trees,87,14,17886,329,17557,0.018394274851839428,0.8473449829846442,0.6946899659692884,0.653462938947722,0.04122702702156644
ensemble_all_trees,88,15,14234,265,13969,0.018617394969790643,0.8389220335594855,0.6778440671189709,0.6560468375562778,0.021797229562693143
ensemble_all_trees,89,16,13600,309,13291,0.022720588235294117,0.8218805873697534,0.6437611747395069,0.6586307361648335,-0.014869561425326583
ensemble_all_trees,90,17,12103,330,11773,0.027265967115591174,0.8143015991907523,0.6286031983815046,0.6612146347733892,-0.032611436391884574
ensemble_all_trees,91,18,12674,288,12386,0.02272368628688654,0.8433911719324685,0.686782343864937,0.6637985333819449,0.02298381048299203
