model,level,protocol,split,n,bad_rate,auc,brier,gini,ks
lightgbm,A,out_of_time,train,1129770,0.031254149074590405,0.7721152335932625,0.02870435971206263,0.544230467186525,0.3966104007468152
lightgbm,A,out_of_time,valid,193544,0.04254846443186046,0.7443737664538473,0.03897377504157603,0.4887475329076947,0.3613174559358465
lightgbm,A,out_of_time,test,203345,0.021879072512232905,0.7495566971580179,0.02119974017603835,0.49911339431603574,0.3672630924501405
lightgbm,B,out_of_time,train,1129770,0.031254149074590405,0.8264716418540516,0.027836320504108333,0.6529432837081033,0.49313001910867355
lightgbm,B,out_of_time,valid,193544,0.04254846443186046,0.7976082430631143,0.03796696911096104,0.5952164861262286,0.4499884177438964
lightgbm,B,out_of_time,test,203345,0.021879072512232905,0.807447402988841,0.02062908025561357,0.614894805977682,0.4673257643147694
lightgbm,C,out_of_time,train,1129770,0.031254149074590405,0.8417789927508701,0.0275126930015164,0.6835579855017402,0.5217492544633262
lightgbm,C,out_of_time,valid,193544,0.04254846443186046,0.8150698439744499,0.037559359275602666,0.6301396879488999,0.4800935288108994
lightgbm,C,out_of_time,test,203345,0.021879072512232905,0.8309900675328623,0.02046430652318588,0.6619801350657246,0.5083163467826783
