model,level,protocol,split,n,bad_rate,auc,brier,gini,ks
gam,C,out_of_time,valid,193544,0.04254846443186046,0.6719679723776028,0.04023655503988266,0.3439359447552055,0.2627177947512817
gam,C,out_of_time,test,203345,0.021879072512232905,0.7075050542198149,0.021246684715151787,0.4150101084396298,0.3209528657076701
monotonic_lightgbm,C,out_of_time,valid,193544,0.04254846443186046,0.753293448983616,0.0391433801599332,0.5065868979672321,0.38639157924585393
monotonic_lightgbm,C,out_of_time,test,203345,0.021879072512232905,0.7899658356203112,0.020734111373159274,0.5799316712406224,0.44931019904179903
