bin,expected_pct,actual_pct,psi_contribution
"(-inf, 535.0]",0.10031110099400561,0.08993927457738388,0.0011319982597030895
"(535.0, 564.0]",0.09992628965995685,0.09531429509272936,0.00021793062729246092
"(564.0, 585.0]",0.10011598538800906,0.09990973247989496,4.2534807659448805e-07
"(585.0, 603.0]",0.10237065461285812,0.1025972427375677,5.009779564312599e-07
"(603.0, 620.0]",0.10347630971350526,0.1038486788117512,1.3375994414609935e-06
"(620.0, 636.0]",0.09806727152504525,0.09837108156901363,9.397412975119368e-07
"(636.0, 653.0]",0.10009972575417601,0.10107910717216478,9.535750113284606e-06
"(653.0, 672.0]",0.09955773795974114,0.10163302150008206,4.281463563279052e-05
"(672.0, 697.0]",0.0985279611503149,0.09900705727884458,2.3239783231368055e-06
"(697.0, inf]",0.09754696324238778,0.10830050878056786,0.0011245618701771422
MISSING,0.0,0.0,0.0
