feature,importance
STATIC_0__avgdpdtolclosure24_3658938P,7.672251
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,5.1184163
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,8.398127
PERSON_1__birth_259D__MAX_GAP,5.0270395
PERSON_1__birth_259D__MIN_GAP,5.0270395
STATIC_CB_0__days360_512L,2.6005428
APPLPREV_1__ROW_COUNT,2.7577899
