feature,coefficient,importance,importance_pct
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,-0.692949455062266,0.692949455062266,0.16335717168578628
STATIC_CB_0__days360_512L,-0.6507702898929854,0.6507702898929854,0.15341377815861743
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,-0.631161619432875,0.631161619432875,0.1487911943273127
STATIC_0__avgdpdtolclosure24_3658938P,-0.5958321420161745,0.5958321420161745,0.14046255871649393
PERSON_1__birth_259D__MAX_GAP,-0.5615742612730782,0.5615742612730782,0.13238654326506635
PERSON_1__birth_259D__MIN_GAP,-0.5615742612730428,0.5615742612730428,0.132386543265058
APPLPREV_1__ROW_COUNT,-0.5480665494601927,0.5480665494601927,0.1292022105816654
