feature,importance,importance_pct
CREDIT_BUREAU_A_2__collater_typofvalofguarant_407M__NUNIQUE,0.0036573126,0.0036573126
APPLPREV_2__conts_type_509L__NUNIQUE,0.0036117288,0.0036117288
TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,0.0035160608,0.0035160608
STATIC_0__currdebtcredtyperange_828A,0.0034338676,0.0034338676
STATIC_0__annuitynextmonth_57A,0.0033539734,0.0033539734
TAX_REGISTRY_A_1__amount_4527230A__MEAN,0.0032800613,0.0032800613
missingindicator_DEPOSIT_1__amount_416A__MAX,0.0032525149,0.0032525149
CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,0.003212028,0.003212028
DEPOSIT_1__amount_416A__MEAN,0.0031816745,0.0031816745
STATIC_0__annuity_780A,0.0031696951,0.0031696951
DEPOSIT_1__amount_416A__MAX,0.0030742544,0.0030742544
missingindicator_CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,0.0030248049,0.0030248049
missingindicator_DEPOSIT_1__contractenddate_991D__MAX_GAP,0.0029878188,0.0029878188
CREDIT_BUREAU_A_1__debtoverdue_47A__MEAN,0.0029580118,0.0029580118
CREDIT_BUREAU_A_2__collaterals_typeofguarante_669M__NUNIQUE,0.0028765753,0.0028765753
CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,0.0028115201,0.0028115201
CREDIT_BUREAU_B_1__installmentamount_833A__MEAN,0.0028052856,0.0028052856
missingindicator_OTHER_1__ROW_COUNT,0.0027760526,0.0027760526
STATIC_0__lastapprcredamount_781A,0.0027664835,0.0027664835
missingindicator_CREDIT_BUREAU_B_1__credquantity_1099L__MAX,0.0027348546,0.0027348546
PERSON_1__ROW_COUNT,0.0027305125,0.0027305125
APPLPREV_1__actualdpd_943P__MAX,0.0026639933,0.0026639933
CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,0.0026494628,0.0026494628
APPLPREV_1__credacc_credlmt_575A__MAX,0.0026456614,0.0026456614
missingindicator_TAX_REGISTRY_A_1__amount_4527230A__MAX,0.002611924,0.002611924
PERSON_1__contaddr_district_15M__NUNIQUE,0.002611856,0.002611856
APPLPREV_1__isbidproduct_390L__MAX,0.002599131,0.002599131
PERSON_1__contaddr_zipcode_807M__NUNIQUE,0.0025912272,0.0025912272
DEBITCARD_1__last180dayaveragebalance_704A__MAX,0.0024353208,0.0024353208
CREDIT_BUREAU_A_2__collater_valueofguarantee_876L__MEAN,0.0023934853,0.0023934853
PERSON_1__empl_employedtotal_800L__NUNIQUE,0.0023741887,0.0023741887
CREDIT_BUREAU_B_1__ROW_COUNT,0.002355781,0.002355781
APPLPREV_1__isbidproduct_390L__MEAN,0.0023556747,0.0023556747
OTHER_1__amtdebitincoming_4809443A__MAX,0.0023533988,0.0023533988
missingindicator_STATIC_CB_0__pmtaverage_4527227A,0.002268587,0.002268587
PERSON_1__education_927M__NUNIQUE,0.0022583487,0.0022583487
APPLPREV_2__ROW_COUNT,0.002216255,0.002216255
CREDIT_BUREAU_B_1__credquantity_1099L__MAX,0.0021977532,0.0021977532
