feature,importance
STATIC_0__avgdpdtolclosure24_3658938P,429
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,592
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,662
PERSON_1__birth_259D__MAX_GAP,996
PERSON_1__birth_259D__MIN_GAP,130
STATIC_CB_0__days360_512L,695
APPLPREV_1__ROW_COUNT,593
