feature,importance,importance_pct
CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MAX,25,0.001388888888888889
CREDIT_BUREAU_B_1__totalamount_503A__MAX,23,0.0012777777777777779
CREDIT_BUREAU_B_1__dpd_550P__MEAN,23,0.0012777777777777779
DEPOSIT_1__openingdate_313D__MAX_GAP,23,0.0012777777777777779
missingindicator_CREDIT_BUREAU_A_2__collater_valueofguarantee_876L__MEAN,23,0.0012777777777777779
CREDIT_BUREAU_B_1__totalamount_503A__MEAN,22,0.0012222222222222222
CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MEAN,22,0.0012222222222222222
CREDIT_BUREAU_B_1__installmentamount_833A__MEAN,22,0.0012222222222222222
missingindicator_STATIC_CB_0__pmtaverage_4527227A,22,0.0012222222222222222
CREDIT_BUREAU_B_1__ROW_COUNT,19,0.0010555555555555555
DEBITCARD_1__last180dayturnover_1134A__MAX,19,0.0010555555555555555
missingindicator_TAX_REGISTRY_A_1__amount_4527230A__MEAN,18,0.001
missingindicator_TAX_REGISTRY_A_1__amount_4527230A__MAX,17,0.0009444444444444445
missingindicator_TAX_REGISTRY_C_1__processingdate_168D__MIN_GAP,17,0.0009444444444444445
missingindicator_DEBITCARD_1__ROW_COUNT,17,0.0009444444444444445
CREDIT_BUREAU_B_1__credquantity_1099L__MEAN,17,0.0009444444444444445
PERSON_1__contaddr_zipcode_807M__NUNIQUE,17,0.0009444444444444445
DEBITCARD_1__last180dayaveragebalance_704A__MAX,16,0.0008888888888888889
APPLPREV_1__actualdpd_943P__MAX,16,0.0008888888888888889
CREDIT_BUREAU_B_1__credquantity_1099L__MAX,16,0.0008888888888888889
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax2_14A__MEAN,15,0.0008333333333333334
CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MAX,14,0.0007777777777777777
missingindicator_TAX_REGISTRY_A_1__recorddate_4527225D__MAX_GAP,14,0.0007777777777777777
missingindicator_TAX_REGISTRY_C_1__pmtamount_36A__MEAN,14,0.0007777777777777777
missingindicator_TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,14,0.0007777777777777777
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,14,0.0007777777777777777
PERSON_1__empladdr_zipcode_114M__NUNIQUE,12,0.0006666666666666666
CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MEAN,12,0.0006666666666666666
missingindicator_DEPOSIT_1__contractenddate_991D__MAX_GAP,12,0.0006666666666666666
missingindicator_PERSON_2__addres_district_368M__NUNIQUE,12,0.0006666666666666666
missingindicator_TAX_REGISTRY_A_1__name_4527232M__NUNIQUE,12,0.0006666666666666666
missingindicator_CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,12,0.0006666666666666666
missingindicator_CREDIT_BUREAU_A_1__debtoverdue_47A__MAX,12,0.0006666666666666666
PERSON_2__conts_role_79M__NUNIQUE,11,0.0006111111111111111
missingindicator_CREDIT_BUREAU_A_1__debtoutstand_525A__MEAN,11,0.0006111111111111111
missingindicator_TAX_REGISTRY_C_1__employername_160M__NUNIQUE,11,0.0006111111111111111
DEBITCARD_1__last180dayturnover_1134A__MEAN,11,0.0006111111111111111
missingindicator_STATIC_0__actualdpdtolerance_344P,10,0.0005555555555555556
PERSON_2__addres_zip_823M__NUNIQUE,10,0.0005555555555555556
CREDIT_BUREAU_B_1__dpdmax_851P__MAX,10,0.0005555555555555556
missingindicator_CREDIT_BUREAU_A_1__ROW_COUNT,10,0.0005555555555555556
missingindicator_TAX_REGISTRY_A_1__ROW_COUNT,10,0.0005555555555555556
missingindicator_TAX_REGISTRY_A_1__recorddate_4527225D__MIN_GAP,10,0.0005555555555555556
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax_155A__MEAN,10,0.0005555555555555556
PERSON_1__empl_employedtotal_800L__NUNIQUE,9,0.0005
missingindicator_TAX_REGISTRY_C_1__ROW_COUNT,9,0.0005
PERSON_1__empladdr_district_926M__NUNIQUE,9,0.0005
missingindicator_DEPOSIT_1__ROW_COUNT,8,0.00044444444444444447
DEBITCARD_1__last30dayturnover_651A__MAX,8,0.00044444444444444447
DEBITCARD_1__last180dayaveragebalance_704A__MEAN,7,0.00038888888888888887
missingindicator_DEBITCARD_1__openingdate_857D__MAX_GAP,7,0.00038888888888888887
missingindicator_TAX_REGISTRY_C_1__pmtamount_36A__MAX,7,0.00038888888888888887
DEBITCARD_1__ROW_COUNT,6,0.0003333333333333333
missingindicator_CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,6,0.0003333333333333333
DEPOSIT_1__ROW_COUNT,6,0.0003333333333333333
PERSON_2__addres_district_368M__NUNIQUE,6,0.0003333333333333333
PERSON_2__relatedpersons_role_762T__NUNIQUE,5,0.0002777777777777778
PERSON_2__empls_employedfrom_796D__MIN_GAP,5,0.0002777777777777778
TAX_REGISTRY_A_1__recorddate_4527225D__MIN_GAP,5,0.0002777777777777778
missingindicator_APPLPREV_1__ROW_COUNT,5,0.0002777777777777778
missingindicator_CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,4,0.00022222222222222223
missingindicator_CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,4,0.00022222222222222223
missingindicator_APPLPREV_1__mainoccupationinc_437A__MAX,4,0.00022222222222222223
missingindicator_APPLPREV_1__creationdate_885D__MAX_GAP,3,0.00016666666666666666
missingindicator_APPLPREV_1__mainoccupationinc_437A__MEAN,3,0.00016666666666666666
missingindicator_DEBITCARD_1__openingdate_857D__MIN_GAP,3,0.00016666666666666666
APPLPREV_2__cacccardblochreas_147M__NUNIQUE,3,0.00016666666666666666
missingindicator_DEPOSIT_1__contractenddate_991D__MIN_GAP,2,0.00011111111111111112
PERSON_2__empls_employer_name_740M__NUNIQUE,2,0.00011111111111111112
missingindicator_CREDIT_BUREAU_B_1__ROW_COUNT,2,0.00011111111111111112
missingindicator_CREDIT_BUREAU_B_1__credquantity_1099L__MAX,1,5.555555555555556e-05
missingindicator_CREDIT_BUREAU_A_2__collater_typofvalofguarant_407M__NUNIQUE,1,5.555555555555556e-05
PERSON_2__empls_economicalst_849M__NUNIQUE,1,5.555555555555556e-05
PERSON_2__addres_role_871L__NUNIQUE,1,5.555555555555556e-05
missingindicator_CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MAX,1,5.555555555555556e-05
missingindicator_CREDIT_BUREAU_A_2__ROW_COUNT,1,5.555555555555556e-05
missingindicator_DEPOSIT_1__openingdate_313D__MIN_GAP,1,5.555555555555556e-05
missingindicator_STATIC_CB_0__days180_256L,1,5.555555555555556e-05
missingindicator_DEPOSIT_1__amount_416A__MAX,1,5.555555555555556e-05
missingindicator_PERSON_2__addres_role_871L__NUNIQUE,1,5.555555555555556e-05
missingindicator_OTHER_1__ROW_COUNT,1,5.555555555555556e-05
missingindicator_PERSON_2__addres_zip_823M__NUNIQUE,1,5.555555555555556e-05
missingindicator_CREDIT_BUREAU_A_1__debtoverdue_47A__MEAN,1,5.555555555555556e-05
missingindicator_APPLPREV_1__creationdate_885D__MIN_GAP,1,5.555555555555556e-05
OTHER_1__amtdebitincoming_4809443A__MEAN,0,0.0
OTHER_1__amtdebitoutgoing_4809440A__MAX,0,0.0
OTHER_1__amtdepositoutgoing_4809442A__MAX,0,0.0
CREDIT_BUREAU_A_2__pmts_month_158T__MEAN,0,0.0
OTHER_1__amtdebitoutgoing_4809440A__MEAN,0,0.0
DEBITCARD_1__last30dayturnover_651A__MEAN,0,0.0
OTHER_1__ROW_COUNT,0,0.0
OTHER_1__amtdebitincoming_4809443A__MAX,0,0.0
OTHER_1__amtdepositincoming_4809444A__MEAN,0,0.0
OTHER_1__amtdepositincoming_4809444A__MAX,0,0.0
OTHER_1__amtdepositbalance_4809441A__MEAN,0,0.0
OTHER_1__amtdepositbalance_4809441A__MAX,0,0.0
missingindicator_CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MAX,0,0.0
missingindicator_CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MAX,0,0.0
missingindicator_CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MEAN,0,0.0
missingindicator_CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MEAN,0,0.0
missingindicator_CREDIT_BUREAU_B_1__totalamount_503A__MEAN,0,0.0
missingindicator_CREDIT_BUREAU_B_1__totalamount_503A__MAX,0,0.0
missingindicator_CREDIT_BUREAU_B_1__installmentamount_833A__MEAN,0,0.0
missingindicator_CREDIT_BUREAU_B_1__installmentamount_833A__MAX,0,0.0
missingindicator_CREDIT_BUREAU_B_2__pmts_date_1107D__MIN_GAP,0,0.0
missingindicator_CREDIT_BUREAU_B_2__pmts_date_1107D__MAX_GAP,0,0.0
missingindicator_CREDIT_BUREAU_B_2__ROW_COUNT,0,0.0
missingindicator_CREDIT_BUREAU_B_1__dpdmax_851P__MAX,0,0.0
missingindicator_CREDIT_BUREAU_A_2__collaterals_typeofguarante_359M__NUNIQUE,0,0.0
