epoch,train_loss,valid_auc,seconds
1,1.15829015483872,0.742249402716267,77.64020863400037
2,1.1093774198337014,0.7539382251988338,80.00593954099986
3,1.089374232590415,0.7586718790202731,82.9362676969995
4,1.0797084531113355,0.7605717194602093,83.13511886499964
5,1.0759187178552418,0.761465780565841,83.24813934099984
6,1.0709174619814674,0.7586906032233951,83.47423044699917
7,1.068912311361929,0.7627993830774065,83.44621579799968
8,1.0637691900449544,0.7619504652560137,83.23605935999967
9,1.062864811492442,0.7618978533089428,83.3153439889993
10,1.059416294625764,0.7629285074050999,83.52157763499963
11,1.0556800879155488,0.7627389711602562,83.64328222099994
12,1.052902679984119,0.7617742240503733,83.53469583600054
13,1.0513753418601803,0.7624404953926829,83.15036760200019
