feature,coefficient
STATIC_0__avgdpdtolclosure24_3658938P,-0.5958321420161745
CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,-0.692949455062266
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,-0.631161619432875
PERSON_1__birth_259D__MAX_GAP,-0.5615742612730782
PERSON_1__birth_259D__MIN_GAP,-0.5615742612730428
STATIC_CB_0__days360_512L,-0.6507702898929854
APPLPREV_1__ROW_COUNT,-0.5480665494601927
