feature,WEEK_NUM,iv,iv_cv
STATIC_0__disbursedcredamount_1113A,0,0.034886263461623684,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,1,0.027099618093802354,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,2,0.017796113347710397,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,3,0.05599159428044462,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,4,0.016595798521758125,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,5,0.028396632895068125,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,6,0.040660893582740804,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,7,0.03893174199951411,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,8,0.010481679876006319,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,9,0.042420781002103565,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,10,0.01601841121798296,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,11,0.04953428999805669,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,12,0.03412619238880951,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,13,0.031756108197528186,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,14,0.03199437173983797,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,15,0.01032338856373329,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,16,0.010655700453993947,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,17,0.01668806286642763,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,18,0.013112897343277611,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,19,0.004037473509750573,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,20,0.031112544830417817,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,21,0.008947765527929084,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,22,0.04305134178184524,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,23,0.028560412500769166,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,24,0.03292726439772798,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,25,0.01762384283267525,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,26,0.0218654665829505,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,27,0.03182327603378283,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,28,0.040254230981393205,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,29,0.053334749643203706,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,30,0.03332236185248473,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,31,0.04728639501698722,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,32,0.05401182727126694,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,33,0.029925529400319114,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,34,0.03361051538592828,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,35,0.03286474267265215,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,36,0.014515742259165703,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,37,0.012083434207788318,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,38,0.014608299824087912,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,39,0.03201077517549408,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,40,0.053488163022279586,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,41,0.036330930106523586,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,42,0.00986201432257967,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,43,0.04331914773531593,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,44,0.04167432116919649,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,45,0.05815429572328365,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,46,0.04838391378692113,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,47,0.07567692639623132,0.5162307333705273
STATIC_0__disbursedcredamount_1113A,48,0.06565630803227375,0.5162307333705273
