approval_target,WEEK_NUM,n,approval_rate,approved_bad_rate
0.6,73,8687,0.6508576033152987,0.011319419879731164
0.6,74,11280,0.6466312056737589,0.015080888401425829
0.6,75,13656,0.6535588752196837,0.010756302521008404
0.6,76,10261,0.659292466621187,0.011086474501108648
0.6,77,7754,0.658627805003869,0.017818680242803996
0.6,78,8755,0.6373500856653341,0.01003584229390681
0.6,79,5158,0.653160139588988,0.013060255268625705
0.6,80,6246,0.6714697406340058,0.012637100619933238
0.6,81,6743,0.6600919472045084,0.019546169400134802
0.6,82,5423,0.6623640051631938,0.013641425389755012
0.6,83,7295,0.6801919122686771,0.011688835147118097
0.6,84,9721,0.6877893220862051,0.013012264433143883
0.6,85,16239,0.674179444547078,0.00959079283887468
0.6,86,15630,0.6412028150991682,0.00927958491319098
0.6,87,17886,0.6498937716649894,0.010065381968341362
0.6,88,14234,0.673528171982577,0.011056639198915197
0.6,89,13600,0.6610294117647059,0.0135706340378198
0.6,90,12103,0.6450466826406676,0.014602280005123607
0.6,91,12674,0.6337383620009468,0.011578685258964144
0.7,73,8687,0.7422585472545182,0.013182382133995037
0.7,74,11280,0.7409574468085106,0.019023689877961235
0.7,75,13656,0.7424575278265964,0.013906696912910544
0.7,76,10261,0.7452490010720203,0.015430887929907154
0.7,77,7754,0.7470982718596854,0.019851544968064905
0.7,78,8755,0.7312392918332381,0.013745704467353952
0.7,79,5158,0.7386583947266382,0.016010498687664042
0.7,80,6246,0.7574447646493756,0.013527795392094694
0.7,81,6743,0.7481833012012458,0.0222001982160555
0.7,82,5423,0.7549326940807671,0.017342452369320957
0.7,83,7295,0.7639479095270734,0.014713798672169388
0.7,84,9721,0.7704968624627097,0.0157543391188251
0.7,85,16239,0.7623006342755095,0.012925115114306487
0.7,86,15630,0.737108125399872,0.01119694470966062
0.7,87,17886,0.7425360617242536,0.012273172200888487
0.7,88,14234,0.7580441197133624,0.013531047265987025
0.7,89,13600,0.7493382352941177,0.015602001766264351
0.7,90,12103,0.741964802115178,0.01737193763919822
0.7,91,12674,0.7299984219662301,0.015456117596195418
0.8,73,8687,0.8229538390698745,0.016365925304238357
0.8,74,11280,0.8250886524822695,0.02234876974320404
0.8,75,13656,0.8213239601640304,0.01720756062767475
0.8,76,10261,0.8237988500146185,0.018928191174730866
0.8,77,7754,0.8298942481299975,0.02191142191142191
0.8,78,8755,0.8137064534551685,0.016282987085906794
0.8,79,5158,0.8183404420317952,0.017294479981047144
0.8,80,6246,0.8264489273134806,0.01491669895389384
0.8,81,6743,0.8242621978347916,0.02428931270241094
0.8,82,5423,0.8264798082242302,0.01963409192324855
0.8,83,7295,0.8361891706648389,0.017540983606557377
0.8,84,9721,0.8356136199979426,0.019204727317493536
0.8,85,16239,0.8360120697087259,0.015689451974071893
0.8,86,15630,0.8167626359564939,0.013551621494595018
0.8,87,17886,0.8242759700324276,0.01485450722376721
0.8,88,14234,0.8334270057608543,0.01576329764814971
0.8,89,13600,0.8265441176470588,0.01796993150075616
0.8,90,12103,0.8239279517475007,0.021359807460890494
0.8,91,12674,0.8131608016411551,0.018047739181059577
